marcEntry,callNumber,itemID,library_x,location,callNum2
Alfred Hitchcock presents. Season one [videorecording (DVD)].,W DVD 3458 V.1,201607095837,Lincoln Center--Quinn Library,AV, 3458 V.1
Alfred Hitchcock presents. Season one [videorecording (DVD)].,W DVD 3458 V.1,201607830365,Lincoln Center--Quinn Library,AV, 3458 V.1
Alfred Hitchcock presents. Season one [videorecording (DVD)].,W DVD 3458 V.2,201607095845,Lincoln Center--Quinn Library,AV, 3458 V.2
Alfred Hitchcock presents. Season one [videorecording (DVD)].,W DVD 3458 V.2,201607830373,Lincoln Center--Quinn Library,AV, 3458 V.2
Alfred Hitchcock presents. Season one [videorecording (DVD)].,W DVD 3458 V.3,201607095852,Lincoln Center--Quinn Library,AV, 3458 V.3
Alfred Hitchcock presents. Season one [videorecording (DVD)].,W DVD 3458 V.3,201607830381,Lincoln Center--Quinn Library,AV, 3458 V.3
"Alien [videorecording (DVD)] / 20th Century Fox ; a Brandywine-Ronald Shusett production ; screenplay by Dan O'Bannon ; produced by Gordon Carroll, David Giler and Walter Hill ; directed by Ridley Scott.",W DVD 1477 V.1,201606598112,Lincoln Center--Quinn Library,AV, 1477 V.1
"Alien [videorecording (DVD)] / 20th Century Fox ; a Brandywine-Ronald Shusett production ; screenplay by Dan O'Bannon ; produced by Gordon Carroll, David Giler and Walter Hill ; directed by Ridley Scott.",W DVD 1477 V.1,201609111657,Lincoln Center--Quinn Library,AV, 1477 V.1
"Alien [videorecording (DVD)] / 20th Century Fox ; a Brandywine-Ronald Shusett production ; screenplay by Dan O'Bannon ; produced by Gordon Carroll, David Giler and Walter Hill ; directed by Ridley Scott.",W DVD 1477 V.2,201606598120,Lincoln Center--Quinn Library,AV, 1477 V.2
"Alien [videorecording (DVD)] / 20th Century Fox ; a Brandywine-Ronald Shusett production ; screenplay by Dan O'Bannon ; produced by Gordon Carroll, David Giler and Walter Hill ; directed by Ridley Scott.",W DVD 1477 V.2,201609111665,Lincoln Center--Quinn Library,AV, 1477 V.2
"Amelia Earhart [videorecording (DVD)] : queen of the air / produced by Laura Verklan ; produced by Greystone Communications, Inc. for A&E Network.",W DVD 4237,201607266909,Lincoln Center--Quinn Library,AV, 4237
"Amelia Earhart [videorecording (DVD)] : queen of the air / produced by Laura Verklan ; produced by Greystone Communications, Inc. for A&E Network.",W DVD 4237,201607693615,Lincoln Center--Quinn Library,AV, 4237
American film theatre. Collection 2 [videorecording (DVD)].,W DVD 5924 COLLECTION 2 V.4,201607729534,Lincoln Center--Quinn Library,AV, 5924 COLLECTION 2 V.4
American film theatre. Collection 2 [videorecording (DVD)].,W DVD 5924 COLLECTION 2 V.4,201606253080,Lincoln Center--Quinn Library,AV, 5924 COLLECTION 2 V.4
"American film treasures IV [videorecording (DVD)] : avant garde, 1947-1986.","W DVD 10,041, BOOKLET",201608538942,Lincoln Center--Quinn Library,AV," 10,041, BOOKLET"
"American film treasures IV [videorecording (DVD)] : avant garde, 1947-1986.","W DVD 10,041, BOOKLET",201608540112,Lincoln Center--Quinn Library,AV," 10,041, BOOKLET"
"American film treasures IV [videorecording (DVD)] : avant garde, 1947-1986.","W DVD 10,041, DISC 1",201608538959,Lincoln Center--Quinn Library,AV," 10,041, DISC 1"
"American film treasures IV [videorecording (DVD)] : avant garde, 1947-1986.","W DVD 10,041, DISC 1",201608540120,Lincoln Center--Quinn Library,AV," 10,041, DISC 1"
"American film treasures IV [videorecording (DVD)] : avant garde, 1947-1986.","W DVD 10,041, DISC 2",201608538967,Lincoln Center--Quinn Library,AV," 10,041, DISC 2"
"American film treasures IV [videorecording (DVD)] : avant garde, 1947-1986.","W DVD 10,041, DISC 2",201608540138,Lincoln Center--Quinn Library,AV," 10,041, DISC 2"
The Animatrix [videorecording (DVD)] / [Warner Bros. presents ; in association with Village Roadshow Pictures and NPV Entertainment].,W DVD 5842,201607720590,Lincoln Center--Quinn Library,AV, 5842
The Animatrix [videorecording (DVD)] / [Warner Bros. presents ; in association with Village Roadshow Pictures and NPV Entertainment].,W DVD 5842,201606327264,Lincoln Center--Quinn Library,AV, 5842
Annie Hall [videorecording (DVD)]/ United Artists ; written by Woody Allen and Marshall Brickman ; produced by Charles H. Joffe ; directed by Woody Allen.,WILLIAMS P.C,201606333775,Lincoln Center--Quinn Library,AV,AMS P.C
Annie Hall [videorecording (DVD)]/ United Artists ; written by Woody Allen and Marshall Brickman ; produced by Charles H. Joffe ; directed by Woody Allen.,WILLIAMS P.C,201607689043,Lincoln Center--Quinn Library,AV,AMS P.C
"Antigone [videorecording (DVD)] / Norma Film Productions, Inc. presents ; by Sophocles ; screenplay, Georges Tzavellas ; english text, Noelle Gillmor ; produced by James Paris ; directed by Georges Tzavellas.",W DVD 5344,201607563339,Lincoln Center--Quinn Library,AV, 5344
"Antigone [videorecording (DVD)] / Norma Film Productions, Inc. presents ; by Sophocles ; screenplay, Georges Tzavellas ; english text, Noelle Gillmor ; produced by James Paris ; directed by Georges Tzavellas.",W DVD 5344,1201500152486,Lincoln Center--Quinn Library,AV, 5344
"L'Argent [videorecording (DVD)] = Money / Marion's Films prèsent un film de Robert Bression  ; une co-production franco-suisse Marion's Films - FR3, EOS Films.",W DVD 3009,201606328650,Lincoln Center--Quinn Library,AV, 3009
"L'Argent [videorecording (DVD)] = Money / Marion's Films prèsent un film de Robert Bression  ; une co-production franco-suisse Marion's Films - FR3, EOS Films.",W DVD 3009,201608368357,Lincoln Center--Quinn Library,AV, 3009
Arrested development. Season one [videorecording (DVD)] / created by Mitchell Hurwitz ; Imagine Television ; The Hurwitz Company ; 20th Century Fox Television.,W DVD 1693  SEASON ONE V.3,201605519051,Lincoln Center--Quinn Library,AV, 1693  SEASON ONE V.3
Arrested development. Season one [videorecording (DVD)] / created by Mitchell Hurwitz ; Imagine Television ; The Hurwitz Company ; 20th Century Fox Television.,W DVD 1693  SEASON ONE V.3,201609164003,Lincoln Center--Quinn Library,AV, 1693  SEASON ONE V.3
"As you like it [videorecording (DVD)] / by William Shakespeare ; presented by the British Broadcasting Corporation ; producer, Cedric Messina ; director, Basil Coleman.",W DVD 2696,201607829227,Lincoln Center--Quinn Library,AV, 2696
"As you like it [videorecording (DVD)] / by William Shakespeare ; presented by the British Broadcasting Corporation ; producer, Cedric Messina ; director, Basil Coleman.",W DVD 2696,201606897365,Lincoln Center--Quinn Library,AV, 2696
Bakushū [videorecording (DVD)] = Early summer / a Shōchiku Co. presentation ; screenplay by Kogo Noda & Yasujirō Ozu ; directed by Yasujirō Ozu.,W DVD 1482,201606967465,Lincoln Center--Quinn Library,AV, 1482
Bakushū [videorecording (DVD)] = Early summer / a Shōchiku Co. presentation ; screenplay by Kogo Noda & Yasujirō Ozu ; directed by Yasujirō Ozu.,W DVD 1482,201607010216,Lincoln Center--Quinn Library,AV, 1482
"Band of brothers [videorecording (DVD)] / HBO presents in association with DreamWorks and Playtone ; producers, Stephen E. Ambrose, Gary Goetzman, Tony To.",W DVD 1214 V.4,201606350209,Lincoln Center--Quinn Library,AV, 1214 V.4
"Band of brothers [videorecording (DVD)] / HBO presents in association with DreamWorks and Playtone ; producers, Stephen E. Ambrose, Gary Goetzman, Tony To.",W DVD 1214 V.4,201608104828,Lincoln Center--Quinn Library,AV, 1214 V.4
"Band of brothers [videorecording (DVD)] / HBO presents in association with DreamWorks and Playtone ; producers, Stephen E. Ambrose, Gary Goetzman, Tony To.",W DVD 1214 V.5,201606373615,Lincoln Center--Quinn Library,AV, 1214 V.5
"Band of brothers [videorecording (DVD)] / HBO presents in association with DreamWorks and Playtone ; producers, Stephen E. Ambrose, Gary Goetzman, Tony To.",W DVD 1214 V.5,201608104836,Lincoln Center--Quinn Library,AV, 1214 V.5
"Band of brothers [videorecording (DVD)] / HBO presents in association with DreamWorks and Playtone ; producers, Stephen E. Ambrose, Gary Goetzman, Tony To.",W DVD 1214 V.6,201606373623,Lincoln Center--Quinn Library,AV, 1214 V.6
"Band of brothers [videorecording (DVD)] / HBO presents in association with DreamWorks and Playtone ; producers, Stephen E. Ambrose, Gary Goetzman, Tony To.",W DVD 1214 V.6,201608104844,Lincoln Center--Quinn Library,AV, 1214 V.6
Barabbas [videorecording (DVD)] / Columbia Pictures presents a Dino de Laurentiis production ; screenplay by Christopher Fry ; produced by Dino de Laurentiis ; directed by Richard Fleischer.,W DVD 764,201605991045,Lincoln Center--Quinn Library,AV, 764
Barabbas [videorecording (DVD)] / Columbia Pictures presents a Dino de Laurentiis production ; screenplay by Christopher Fry ; produced by Dino de Laurentiis ; directed by Richard Fleischer.,W DVD 764,201606898751,Lincoln Center--Quinn Library,AV, 764
"Batalla en el cielo [videorecording (DVD)] / una producción de Philippe Bober, Nodream Cinema, Mantarraya ; guión y dirección, Carlos Reygados.",W DVD 4990,201607411281,Lincoln Center--Quinn Library,AV, 4990
"Batalla en el cielo [videorecording (DVD)] / una producción de Philippe Bober, Nodream Cinema, Mantarraya ; guión y dirección, Carlos Reygados.",W DVD 4990,201607430778,Lincoln Center--Quinn Library,AV, 4990
"Batman begins [videorecording (DVD)] / Warner Brothers Pictures presents in association with Legendary Pictures, a Syncopy production, a film by Christopher Nolan ; produced by Emma Thomas, Charles Roven, Larry Franco ; story by David S. Goyer ; screenplay by Christopher Nolan and David S. Goyer ; directed by Christopher Nolan.",W DVD 3632 V.2,201607122581,Lincoln Center--Quinn Library,AV, 3632 V.2
"Batman begins [videorecording (DVD)] / Warner Brothers Pictures presents in association with Legendary Pictures, a Syncopy production, a film by Christopher Nolan ; produced by Emma Thomas, Charles Roven, Larry Franco ; story by David S. Goyer ; screenplay by Christopher Nolan and David S. Goyer ; directed by Christopher Nolan.",W DVD 3632 V.2,201606328775,Lincoln Center--Quinn Library,AV, 3632 V.2
"Batman begins [videorecording (DVD)] / Warner Brothers Pictures presents in association with Legendary Pictures, a Syncopy production, a film by Christopher Nolan ; produced by Emma Thomas, Charles Roven, Larry Franco ; story by David S. Goyer ; screenplay by Christopher Nolan and David S. Goyer ; directed by Christopher Nolan.",W DVD 3632 V.1,201607122573,Lincoln Center--Quinn Library,AV, 3632 V.1
"Batman begins [videorecording (DVD)] / Warner Brothers Pictures presents in association with Legendary Pictures, a Syncopy production, a film by Christopher Nolan ; produced by Emma Thomas, Charles Roven, Larry Franco ; story by David S. Goyer ; screenplay by Christopher Nolan and David S. Goyer ; directed by Christopher Nolan.",W DVD 3632 V.1,201606328783,Lincoln Center--Quinn Library,AV, 3632 V.1
Behavioral couples therapy [videorecording (DVD)] / Psychotherapy.net ; Governors State University ; Allyn & Bacon.,"W DVD 11,574",201609109529,Lincoln Center--Quinn Library,AV," 11,574"
Behavioral couples therapy [videorecording (DVD)] / Psychotherapy.net ; Governors State University ; Allyn & Bacon.,"W DVD 11,574",201609166172,Lincoln Center--Quinn Library,AV," 11,574"
Behavioral couples therapy [videorecording (DVD)] / Psychotherapy.net ; Governors State University ; Allyn & Bacon.,"W DVD 11,574, INSTRUCTOR'S MANUAL",201609109537,Lincoln Center--Quinn Library,AV," 11,574, INSTRUCTOR'S MANUAL"
Behavioral couples therapy [videorecording (DVD)] / Psychotherapy.net ; Governors State University ; Allyn & Bacon.,"W DVD 11,574, INSTRUCTOR'S MANUAL",201609166164,Lincoln Center--Quinn Library,AV," 11,574, INSTRUCTOR'S MANUAL"
"Belle et la bête [videorecording (DVD)] = Beauty and the beast / André Paulvé presents a film by Jean Cocteau ; story, dialogue, and directed by Jean Cocteau.",W DVD 719,201607563164,Lincoln Center--Quinn Library,AV, 719
"Belle et la bête [videorecording (DVD)] = Beauty and the beast / André Paulvé presents a film by Jean Cocteau ; story, dialogue, and directed by Jean Cocteau.",W DVD 719,201606329070,Lincoln Center--Quinn Library,AV, 719
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 BOOKLET,201608062166,Lincoln Center--Quinn Library,AV, 7543 BOOKLET
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 BOOKLET,201609441468,Lincoln Center--Quinn Library,AV, 7543 BOOKLET
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.1,201608062174,Lincoln Center--Quinn Library,AV, 7543 V.1
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.1,201609441476,Lincoln Center--Quinn Library,AV, 7543 V.1
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.2,201608062182,Lincoln Center--Quinn Library,AV, 7543 V.2
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.2,201609441484,Lincoln Center--Quinn Library,AV, 7543 V.2
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.3,201608062190,Lincoln Center--Quinn Library,AV, 7543 V.3
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.3,201609441492,Lincoln Center--Quinn Library,AV, 7543 V.3
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.4,201608062208,Lincoln Center--Quinn Library,AV, 7543 V.4
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.4,201609441500,Lincoln Center--Quinn Library,AV, 7543 V.4
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.5,201608070011,Lincoln Center--Quinn Library,AV, 7543 V.5
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.5,201609441518,Lincoln Center--Quinn Library,AV, 7543 V.5
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.6,201608070029,Lincoln Center--Quinn Library,AV, 7543 V.6
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.6,201609441526,Lincoln Center--Quinn Library,AV, 7543 V.6
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.7,201608070037,Lincoln Center--Quinn Library,AV, 7543 V.7
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.7,201609441534,Lincoln Center--Quinn Library,AV, 7543 V.7
Best of Liberace [videorecording (DVD)] / a Guild Films production ; directed by Duke Goldstone.,W DVD 9455,201608439950,Lincoln Center--Quinn Library,AV, 9455
Best of Liberace [videorecording (DVD)] / a Guild Films production ; directed by Duke Goldstone.,W DVD 9455,201608439968,Lincoln Center--Quinn Library,AV, 9455
Best of Liberace [videorecording (DVD)] / a Guild Films production ; directed by Duke Goldstone.,W DVD 9455,201608439976,Lincoln Center--Quinn Library,AV, 9455
Best of Liberace [videorecording (DVD)] / a Guild Films production ; directed by Duke Goldstone.,W DVD 9455,201608439984,Lincoln Center--Quinn Library,AV, 9455
Best of Liberace [videorecording (DVD)] / a Guild Films production ; directed by Duke Goldstone.,W DVD 9455,201608439992,Lincoln Center--Quinn Library,AV, 9455
Les Biches [videorecording (DVD)] = Bad girls / Pathfinder Home Entertainment in association with Cinema Arts Entertainment ; screenplay by Paul Gegauff & Claude Chabrol ; directed by Claude Chabrol.,W DVD 1067,201606838484,Lincoln Center--Quinn Library,AV, 1067
Les Biches [videorecording (DVD)] = Bad girls / Pathfinder Home Entertainment in association with Cinema Arts Entertainment ; screenplay by Paul Gegauff & Claude Chabrol ; directed by Claude Chabrol.,W DVD 1067,201607760372,Lincoln Center--Quinn Library,AV, 1067
"The bicycle thief [videorecording (DVD)] = Ladri di biciclette / un film P.D.S. ""Produzioni De Sica - S.A."" ; soggetto di Cesare Zavattini ; sceneggiato da Oreste Biancoli [and 7 others] ; regia, Vittorio De Sica.",WILLIAMS P.C,201606343311,Lincoln Center--Quinn Library,RESERVE-LC,AMS P.C
"The bicycle thief [videorecording (DVD)] = Ladri di biciclette / un film P.D.S. ""Produzioni De Sica - S.A."" ; soggetto di Cesare Zavattini ; sceneggiato da Oreste Biancoli [and 7 others] ; regia, Vittorio De Sica.",WILLIAMS P.C,201606343329,Lincoln Center--Quinn Library,RESERVE-LC,AMS P.C
"The bicycle thief [videorecording (DVD)] = Ladri di biciclette / un film P.D.S. ""Produzioni De Sica - S.A."" ; soggetto di Cesare Zavattini ; sceneggiato da Oreste Biancoli [and 7 others] ; regia, Vittorio De Sica.",WILLIAMS P.C,201606343337,Lincoln Center--Quinn Library,RESERVE-LC,AMS P.C
"The bicycle thief [videorecording (DVD)] = Ladri di biciclette / un film P.D.S. ""Produzioni De Sica - S.A."" ; soggetto di Cesare Zavattini ; sceneggiato da Oreste Biancoli [and 7 others] ; regia, Vittorio De Sica.",W DVD 260,201606328726,Lincoln Center--Quinn Library,AV, 260
"The bicycle thief [videorecording (DVD)] = Ladri di biciclette / un film P.D.S. ""Produzioni De Sica - S.A."" ; soggetto di Cesare Zavattini ; sceneggiato da Oreste Biancoli [and 7 others] ; regia, Vittorio De Sica.",W DVD 260,201605171648,Lincoln Center--Quinn Library,AV, 260
A big hand for the little lady [videorecording (DVD)] / Warner Bros. presents ; written by Sidney Carroll ; produced and directed by Fielder Cook.,W DVD 7787,201608105106,Lincoln Center--Quinn Library,AV, 7787
A big hand for the little lady [videorecording (DVD)] / Warner Bros. presents ; written by Sidney Carroll ; produced and directed by Fielder Cook.,W DVD 7787,201608106294,Lincoln Center--Quinn Library,AV, 7787
The Big Lebowski [videorecording (DVD)] / Universal Studios presents a Working Title production ; produced by Ethan Coen ; written by Ethan Coen & Joel Coen ; directed by Joel Coen.,"W DVD 3558 2008, V.1",201608440446,Lincoln Center--Quinn Library,AV," 3558 2008, V.1"
The Big Lebowski [videorecording (DVD)] / Universal Studios presents a Working Title production ; produced by Ethan Coen ; written by Ethan Coen & Joel Coen ; directed by Joel Coen.,"W DVD 3558 2008, V.1",201606325474,Lincoln Center--Quinn Library,AV," 3558 2008, V.1"
The Big Lebowski [videorecording (DVD)] / Universal Studios presents a Working Title production ; produced by Ethan Coen ; written by Ethan Coen & Joel Coen ; directed by Joel Coen.,"W DVD 3558 2008, V.2",201608440453,Lincoln Center--Quinn Library,AV," 3558 2008, V.2"
The Big Lebowski [videorecording (DVD)] / Universal Studios presents a Working Title production ; produced by Ethan Coen ; written by Ethan Coen & Joel Coen ; directed by Joel Coen.,"W DVD 3558 2008, V.2",201606325367,Lincoln Center--Quinn Library,AV," 3558 2008, V.2"
The big trail [videorecording (DVD)] / Twentieth Century Fox presents ; story by Hal G. Evarts ; directed by Raoul Walsh.,"W DVD 8856, V.1",201608267013,Lincoln Center--Quinn Library,AV," 8856, V.1"
The big trail [videorecording (DVD)] / Twentieth Century Fox presents ; story by Hal G. Evarts ; directed by Raoul Walsh.,"W DVD 8856, V.1",201609178839,Lincoln Center--Quinn Library,AV," 8856, V.1"
The big trail [videorecording (DVD)] / Twentieth Century Fox presents ; story by Hal G. Evarts ; directed by Raoul Walsh.,"W DVD 8856, V.2",201608267021,Lincoln Center--Quinn Library,AV," 8856, V.2"
The big trail [videorecording (DVD)] / Twentieth Century Fox presents ; story by Hal G. Evarts ; directed by Raoul Walsh.,"W DVD 8856, V.2",201609178847,Lincoln Center--Quinn Library,AV," 8856, V.2"
"The Big Uneasy [videorecording (DVD)] / FilmBuff presents ; produced by Karen Murphy, Christine O'Malley; written and directed by Harry Shearer.","W DVD 12,466",201609181304,Lincoln Center--Quinn Library,AV," 12,466"
"The Big Uneasy [videorecording (DVD)] / FilmBuff presents ; produced by Karen Murphy, Christine O'Malley; written and directed by Harry Shearer.","W DVD 12,466",201609183235,Lincoln Center--Quinn Library,AV," 12,466"
The birdcage [videorecording (DVD)] / an Icarus production ; United Artists Pictures ; directed and produced by Mike Nichols ; screenplay by Elaine May.,W DVD 4401,201607976051,Lincoln Center--Quinn Library,AV, 4401
The birdcage [videorecording (DVD)] / an Icarus production ; United Artists Pictures ; directed and produced by Mike Nichols ; screenplay by Elaine May.,W DVD 4401,201609169069,Lincoln Center--Quinn Library,AV, 4401
Bjork at the Royal Opera House [videorecording (DVD)] / an Initial production for BBC Wales.,W DVD 1665,201609165919,Lincoln Center--Quinn Library,AV, 1665
Bjork at the Royal Opera House [videorecording (DVD)] / an Initial production for BBC Wales.,W DVD 1665,201609175231,Lincoln Center--Quinn Library,AV, 1665
"Black and white [videorecording (DVD)] / Screen Gems presents in association with Palm Pictures ; a film by James Toback ; produced by Michael Mailer, Daniel Bigel, Ron Rotholz ; written and directed by James Toback.",W DVD 1046,201605615362,Lincoln Center--Quinn Library,AV, 1046
"Black and white [videorecording (DVD)] / Screen Gems presents in association with Palm Pictures ; a film by James Toback ; produced by Michael Mailer, Daniel Bigel, Ron Rotholz ; written and directed by James Toback.",W DVD 1046,201608173674,Lincoln Center--Quinn Library,AV, 1046
Black moon [videorecording (DVD)] / Nouvelles Éditions de Films ; Bioskop Munich ; director: Louis Malle ; written by Louis Malle.,"W DVD 12,247, BOOKLET",201609174390,Lincoln Center--Quinn Library,AV," 12,247, BOOKLET"
Black moon [videorecording (DVD)] / Nouvelles Éditions de Films ; Bioskop Munich ; director: Louis Malle ; written by Louis Malle.,"W DVD 12,247, BOOKLET",201609175488,Lincoln Center--Quinn Library,AV," 12,247, BOOKLET"
Black moon [videorecording (DVD)] / Nouvelles Éditions de Films ; Bioskop Munich ; director: Louis Malle ; written by Louis Malle.,"W DVD 12,247",201609174408,Lincoln Center--Quinn Library,AV," 12,247"
Black moon [videorecording (DVD)] / Nouvelles Éditions de Films ; Bioskop Munich ; director: Louis Malle ; written by Louis Malle.,"W DVD 12,247",201609175496,Lincoln Center--Quinn Library,AV," 12,247"
"Bliss [videorecording (DVD)] = Mutluluk / Kanal D Home Video ; ANS Productions, Highway Productions ; senaryo, Kubilay Tunçer, Elif Ayan, Abdullah Oğuz ; ortak yapımcı, George Lykiardopoulos ; yapımcı & yönetmen, Abdullah Oğuz.","W DVD 10,657",201609014828,Lincoln Center--Quinn Library,AV," 10,657"
"Bliss [videorecording (DVD)] = Mutluluk / Kanal D Home Video ; ANS Productions, Highway Productions ; senaryo, Kubilay Tunçer, Elif Ayan, Abdullah Oğuz ; ortak yapımcı, George Lykiardopoulos ; yapımcı & yönetmen, Abdullah Oğuz.","W DVD 10,657",201609492438,Lincoln Center--Quinn Library,AV," 10,657"
The Blitz [videorecording (DVD)] : the story of Germany's most concentrated aerial attack on London.,W DVD 4378,201607316480,Lincoln Center--Quinn Library,AV, 4378
The Blitz [videorecording (DVD)] : the story of Germany's most concentrated aerial attack on London.,W DVD 4378,201607648460,Lincoln Center--Quinn Library,AV, 4378
