marcEntry,callNumber,itemID,library,location
The adventures of Robin Hood [videorecording (DVD)] / a First National picture ; directed by Michael Curtiz and William Keighley ; original screenplay by Norman Reilly Raine and Seton I. Miller.,W DVD 936 V.1,0201606190449,Lincoln Center--Quinn Library,AV
The adventures of Robin Hood [videorecording (DVD)] / a First National picture ; directed by Michael Curtiz and William Keighley ; original screenplay by Norman Reilly Raine and Seton I. Miller.,W DVD 936 V.1,0201606318990,Lincoln Center--Quinn Library,AV
The adventures of Robin Hood [videorecording (DVD)] / a First National picture ; directed by Michael Curtiz and William Keighley ; original screenplay by Norman Reilly Raine and Seton I. Miller.,W DVD 936 V.2,0201606190456,Lincoln Center--Quinn Library,AV
The adventures of Robin Hood [videorecording (DVD)] / a First National picture ; directed by Michael Curtiz and William Keighley ; original screenplay by Norman Reilly Raine and Seton I. Miller.,W DVD 936 V.2,0201606318982,Lincoln Center--Quinn Library,AV
"African art [videorecording (DVD)] : its cultural meaning / produced by Academic Media Network, Inc.",W DVD 5199,0201607445628,Lincoln Center--Quinn Library,AV
"African art [videorecording (DVD)] : its cultural meaning / produced by Academic Media Network, Inc.",W DVD 5199,0201607976036,Lincoln Center--Quinn Library,AV
"After Stonewall [videorecording (DVD)] : from the riots to the millennium / producer/writer, John Scagliotti.",W DVD 2339,0201606869950,Lincoln Center--Quinn Library,AV
"After Stonewall [videorecording (DVD)] : from the riots to the millennium / producer/writer, John Scagliotti.",W DVD 2339,0201608049668,Lincoln Center--Quinn Library,AV
Alfred Hitchcock presents. Season one [videorecording (DVD)].,W DVD 3458 V.1,0201607095837,Lincoln Center--Quinn Library,AV
Alfred Hitchcock presents. Season one [videorecording (DVD)].,W DVD 3458 V.1,0201607830365,Lincoln Center--Quinn Library,AV
Alfred Hitchcock presents. Season one [videorecording (DVD)].,W DVD 3458 V.2,0201607095845,Lincoln Center--Quinn Library,AV
Alfred Hitchcock presents. Season one [videorecording (DVD)].,W DVD 3458 V.2,0201607830373,Lincoln Center--Quinn Library,AV
Alfred Hitchcock presents. Season one [videorecording (DVD)].,W DVD 3458 V.3,0201607095852,Lincoln Center--Quinn Library,AV
Alfred Hitchcock presents. Season one [videorecording (DVD)].,W DVD 3458 V.3,0201607830381,Lincoln Center--Quinn Library,AV
"Alien [videorecording (DVD)] / 20th Century Fox ; a Brandywine-Ronald Shusett production ; screenplay by Dan O'Bannon ; produced by Gordon Carroll, David Giler and Walter Hill ; directed by Ridley Scott.",W DVD 1477 V.1,0201606598112,Lincoln Center--Quinn Library,AV
"Alien [videorecording (DVD)] / 20th Century Fox ; a Brandywine-Ronald Shusett production ; screenplay by Dan O'Bannon ; produced by Gordon Carroll, David Giler and Walter Hill ; directed by Ridley Scott.",W DVD 1477 V.1,0201609111657,Lincoln Center--Quinn Library,AV
"Alien [videorecording (DVD)] / 20th Century Fox ; a Brandywine-Ronald Shusett production ; screenplay by Dan O'Bannon ; produced by Gordon Carroll, David Giler and Walter Hill ; directed by Ridley Scott.",W DVD 1477 V.2,0201606598120,Lincoln Center--Quinn Library,AV
"Alien [videorecording (DVD)] / 20th Century Fox ; a Brandywine-Ronald Shusett production ; screenplay by Dan O'Bannon ; produced by Gordon Carroll, David Giler and Walter Hill ; directed by Ridley Scott.",W DVD 1477 V.2,0201609111665,Lincoln Center--Quinn Library,AV
"Alien. Covenant [videorecording (DVD)] / Twentieth Century Fox presents in association with TSG Entertainment ; a Scott Free/Brandywine production ; a Ridley Scott film ; produced by David Giler, Walter Hill, Ridley Scott, Mark Huffam, Michael Schaefer ; story by Jack Paglen and Michael Green ; screenplay by John Logan and Dante Harper ; directed by Ridley Scott.","W DVD 13,858",0201609442912,Lincoln Center--Quinn Library,RESERVE-LC
"Alien. Covenant [videorecording (DVD)] / Twentieth Century Fox presents in association with TSG Entertainment ; a Scott Free/Brandywine production ; a Ridley Scott film ; produced by David Giler, Walter Hill, Ridley Scott, Mark Huffam, Michael Schaefer ; story by Jack Paglen and Michael Green ; screenplay by John Logan and Dante Harper ; directed by Ridley Scott.","W DVD 13,858",0201610895918,Lincoln Center--Quinn Library,AV
"Amelia Earhart [videorecording (DVD)] : queen of the air / produced by Laura Verklan ; produced by Greystone Communications, Inc. for A&E Network.",W DVD 4237,0201607266909,Lincoln Center--Quinn Library,AV
"Amelia Earhart [videorecording (DVD)] : queen of the air / produced by Laura Verklan ; produced by Greystone Communications, Inc. for A&E Network.",W DVD 4237,0201607693615,Lincoln Center--Quinn Library,AV
American beauty [videorecording (DVD)]/ Dreamworks Pictures presents a Jinks/Cohen Company production ; directed by Sam Mendes ; written by Alan Ball ; produced by Bruce Cohen & Dan Jinks.,W DVD 219,0201606870339,Lincoln Center--Quinn Library,AV
American beauty [videorecording (DVD)]/ Dreamworks Pictures presents a Jinks/Cohen Company production ; directed by Sam Mendes ; written by Alan Ball ; produced by Bruce Cohen & Dan Jinks.,W DVD 219,0201606672339,Lincoln Center--Quinn Library,AV
American beauty [videorecording (DVD)]/ Dreamworks Pictures presents a Jinks/Cohen Company production ; directed by Sam Mendes ; written by Alan Ball ; produced by Bruce Cohen & Dan Jinks.,W DVD 219,0201606055956,Lincoln Center--Quinn Library,AV
American beauty [videorecording (DVD)]/ Dreamworks Pictures presents a Jinks/Cohen Company production ; directed by Sam Mendes ; written by Alan Ball ; produced by Bruce Cohen & Dan Jinks.,W DVD 219,0201606672305,Lincoln Center--Quinn Library,AV
American film theatre. Collection 2 [videorecording (DVD)].,W DVD 5924 COLLECTION 2 V.4,0201607729534,Lincoln Center--Quinn Library,AV
American film theatre. Collection 2 [videorecording (DVD)].,W DVD 5924 COLLECTION 2 V.4,0201606253080,Lincoln Center--Quinn Library,AV
American film theatre. Collection 3 [videorecording (DVD)].,W DVD 5924 COLLECTION 3 V.4,0201607729492,Lincoln Center--Quinn Library,AV
"American film treasures IV [videorecording (DVD)] : avant garde, 1947-1986.","W DVD 10,041, BOOKLET",0201608538942,Lincoln Center--Quinn Library,AV
"American film treasures IV [videorecording (DVD)] : avant garde, 1947-1986.","W DVD 10,041, BOOKLET",0201608540112,Lincoln Center--Quinn Library,AV
"American film treasures IV [videorecording (DVD)] : avant garde, 1947-1986.","W DVD 10,041, DISC 1",0201608538959,Lincoln Center--Quinn Library,AV
"American film treasures IV [videorecording (DVD)] : avant garde, 1947-1986.","W DVD 10,041, DISC 1",0201608540120,Lincoln Center--Quinn Library,AV
"American film treasures IV [videorecording (DVD)] : avant garde, 1947-1986.","W DVD 10,041, DISC 2",0201608538967,Lincoln Center--Quinn Library,AV
"American film treasures IV [videorecording (DVD)] : avant garde, 1947-1986.","W DVD 10,041, DISC 2",0201608540138,Lincoln Center--Quinn Library,AV
Amores perros [videorecording (DVD)]= Love's a bitch / Altavista Films presenta una producción de Zeta Film y Altavista Films ; una película de Alejandro González Iñárritu ; dirigida y producida por Alejandro González Iñárritu ; escrita por Guillermo Arriaga Jordán.,W DVD 547,0201605661879,Lincoln Center--Quinn Library,AV
Amores perros [videorecording (DVD)]= Love's a bitch / Altavista Films presenta una producción de Zeta Film y Altavista Films ; una película de Alejandro González Iñárritu ; dirigida y producida por Alejandro González Iñárritu ; escrita por Guillermo Arriaga Jordán.,W DVD 547,0201608730663,Lincoln Center--Quinn Library,AV
"L'amour, l'après-midi [videorecording (DVD)] = Chloe in the afternoon / les Films du losange, Barbet Schroeder ; production, Pierre Cottrell ; [written and directed by] Eric Rohmer.",W DVD 3684,0201607146432,Lincoln Center--Quinn Library,AV
"L'amour, l'après-midi [videorecording (DVD)] = Chloe in the afternoon / les Films du losange, Barbet Schroeder ; production, Pierre Cottrell ; [written and directed by] Eric Rohmer.",W DVD 3684,0201609422377,Lincoln Center--Quinn Library,RESERVE-LC
"L'amour, l'après-midi [videorecording (DVD)] = Chloe in the afternoon / les Films du losange, Barbet Schroeder ; production, Pierre Cottrell ; [written and directed by] Eric Rohmer.",W DVD 3684,0201605518319,Lincoln Center--Quinn Library,AV
And the band played on [videorecording (DVD)] / HBO Pictures ; screenplay by Arnold Schulman ; directed by Roger Spottiswoode.,W DVD 4528,0201607349465,Lincoln Center--Quinn Library,AV
And the band played on [videorecording (DVD)] / HBO Pictures ; screenplay by Arnold Schulman ; directed by Roger Spottiswoode.,W DVD 4528,0201609435437,Lincoln Center--Quinn Library,AV
The Animatrix [videorecording (DVD)] / [Warner Bros. presents ; in association with Village Roadshow Pictures and NPV Entertainment].,W DVD 5842,0201607720590,Lincoln Center--Quinn Library,AV
The Animatrix [videorecording (DVD)] / [Warner Bros. presents ; in association with Village Roadshow Pictures and NPV Entertainment].,W DVD 5842,0201606327264,Lincoln Center--Quinn Library,AV
Annie Hall [videorecording (DVD)]/ United Artists ; written by Woody Allen and Marshall Brickman ; produced by Charles H. Joffe ; directed by Woody Allen.,W DVD 127,0201606329799,Lincoln Center--Quinn Library,AV
Annie Hall [videorecording (DVD)]/ United Artists ; written by Woody Allen and Marshall Brickman ; produced by Charles H. Joffe ; directed by Woody Allen.,W DVD 127,0201606906497,Lincoln Center--Quinn Library,AV
Annie Hall [videorecording (DVD)]/ United Artists ; written by Woody Allen and Marshall Brickman ; produced by Charles H. Joffe ; directed by Woody Allen.,WILLIAMS P.C,0201606333775,Lincoln Center--Quinn Library,AV
Annie Hall [videorecording (DVD)]/ United Artists ; written by Woody Allen and Marshall Brickman ; produced by Charles H. Joffe ; directed by Woody Allen.,WILLIAMS P.C,0201607689043,Lincoln Center--Quinn Library,AV
"Antigone [videorecording (DVD)] / Norma Film Productions, Inc. presents ; by Sophocles ; screenplay, Georges Tzavellas ; english text, Noelle Gillmor ; produced by James Paris ; directed by Georges Tzavellas.",W DVD 5344,0201607563339,Lincoln Center--Quinn Library,AV
"Antigone [videorecording (DVD)] / Norma Film Productions, Inc. presents ; by Sophocles ; screenplay, Georges Tzavellas ; english text, Noelle Gillmor ; produced by James Paris ; directed by Georges Tzavellas.",W DVD 5344,1201500152486,Lincoln Center--Quinn Library,AV
"L'Argent [videorecording (DVD)] = Money / Marion's Films prèsent un film de Robert Bression  ; une co-production franco-suisse Marion's Films - FR3, EOS Films.",W DVD 3009,0201606328650,Lincoln Center--Quinn Library,AV
"L'Argent [videorecording (DVD)] = Money / Marion's Films prèsent un film de Robert Bression  ; une co-production franco-suisse Marion's Films - FR3, EOS Films.",W DVD 3009,0201608368357,Lincoln Center--Quinn Library,AV
Arrested development. Season one [videorecording (DVD)] / created by Mitchell Hurwitz ; Imagine Television ; The Hurwitz Company ; 20th Century Fox Television.,W DVD 1693  SEASON ONE V.3,0201605519051,Lincoln Center--Quinn Library,AV
Arrested development. Season one [videorecording (DVD)] / created by Mitchell Hurwitz ; Imagine Television ; The Hurwitz Company ; 20th Century Fox Television.,W DVD 1693  SEASON ONE V.3,0201609164003,Lincoln Center--Quinn Library,AV
"As you like it [videorecording (DVD)] / by William Shakespeare ; presented by the British Broadcasting Corporation ; producer, Cedric Messina ; director, Basil Coleman.",W DVD 2696,0201607829227,Lincoln Center--Quinn Library,AV
"As you like it [videorecording (DVD)] / by William Shakespeare ; presented by the British Broadcasting Corporation ; producer, Cedric Messina ; director, Basil Coleman.",W DVD 2696,0201606897365,Lincoln Center--Quinn Library,AV
"The atomic cafe [videorecording (DVD)] / the Archives Project ; produced and directed by Kevin Rafferty, Jayne Loader, Pierce Rafferty.","W DVD 3719 2008, DISC 1",0201608532937,Lincoln Center--Quinn Library,AV
"The atomic cafe [videorecording (DVD)] / the Archives Project ; produced and directed by Kevin Rafferty, Jayne Loader, Pierce Rafferty.","W DVD 3719 2008, DISC 1",0201606336042,Lincoln Center--Quinn Library,AV
"L'Auberge espagnole [videorecording (DVD)] / Ce qui Me meut présente une co-production franco-espagnole BAC Film, Studio Canal, France 2 Cinema, Mate Production, Castelao Productions avec la participation de Canal+, France 2, Via Digital, un film de Cédric Klapisch ; produit par Bruno Levy ; director, Cédric Klapisch.",W DVD 4681,0201606342032,Lincoln Center--Quinn Library,AV
"L'Auberge espagnole [videorecording (DVD)] / Ce qui Me meut présente une co-production franco-espagnole BAC Film, Studio Canal, France 2 Cinema, Mate Production, Castelao Productions avec la participation de Canal+, France 2, Via Digital, un film de Cédric Klapisch ; produit par Bruno Levy ; director, Cédric Klapisch.",W DVD 4681,0201606334245,Lincoln Center--Quinn Library,AV
"L'Auberge espagnole [videorecording (DVD)] / Ce qui Me meut présente une co-production franco-espagnole BAC Film, Studio Canal, France 2 Cinema, Mate Production, Castelao Productions avec la participation de Canal+, France 2, Via Digital, un film de Cédric Klapisch ; produit par Bruno Levy ; director, Cédric Klapisch.",W DVD 4681,0201608443416,Lincoln Center--Quinn Library,AV
Backfire [videorecording (DVD)] : Deadline at dawn.,"W DVD 10,984 DISC 4",0201609492917,Lincoln Center--Quinn Library,AV
Backfire [videorecording (DVD)] : Deadline at dawn.,"W DVD 10,984 DISC 4",0201609032531,Lincoln Center--Quinn Library,AV
Un baiser s'il vous plait [videorecording (DVD)] = Shall we kiss? / Arte France Cinema ; written and directed by Emmanuel Mouret.,"W DVD 10,826",0201609480573,Lincoln Center--Quinn Library,AV
Un baiser s'il vous plait [videorecording (DVD)] = Shall we kiss? / Arte France Cinema ; written and directed by Emmanuel Mouret.,"W DVD 10,826",0201609482959,Lincoln Center--Quinn Library,AV
Bakushū [videorecording (DVD)] = Early summer / a Shōchiku Co. presentation ; screenplay by Kogo Noda & Yasujirō Ozu ; directed by Yasujirō Ozu.,W DVD 1482,0201606967465,Lincoln Center--Quinn Library,AV
Bakushū [videorecording (DVD)] = Early summer / a Shōchiku Co. presentation ; screenplay by Kogo Noda & Yasujirō Ozu ; directed by Yasujirō Ozu.,W DVD 1482,0201607010216,Lincoln Center--Quinn Library,AV
"Band of brothers [videorecording (DVD)] / HBO presents in association with DreamWorks and Playtone ; producers, Stephen E. Ambrose, Gary Goetzman, Tony To.",W DVD 1214 V.4,0201606350209,Lincoln Center--Quinn Library,AV
"Band of brothers [videorecording (DVD)] / HBO presents in association with DreamWorks and Playtone ; producers, Stephen E. Ambrose, Gary Goetzman, Tony To.",W DVD 1214 V.4,0201608104828,Lincoln Center--Quinn Library,AV
"Band of brothers [videorecording (DVD)] / HBO presents in association with DreamWorks and Playtone ; producers, Stephen E. Ambrose, Gary Goetzman, Tony To.",W DVD 1214 V.5,0201606373615,Lincoln Center--Quinn Library,AV
"Band of brothers [videorecording (DVD)] / HBO presents in association with DreamWorks and Playtone ; producers, Stephen E. Ambrose, Gary Goetzman, Tony To.",W DVD 1214 V.5,0201608104836,Lincoln Center--Quinn Library,AV
"Band of brothers [videorecording (DVD)] / HBO presents in association with DreamWorks and Playtone ; producers, Stephen E. Ambrose, Gary Goetzman, Tony To.",W DVD 1214 V.6,0201606373623,Lincoln Center--Quinn Library,AV
"Band of brothers [videorecording (DVD)] / HBO presents in association with DreamWorks and Playtone ; producers, Stephen E. Ambrose, Gary Goetzman, Tony To.",W DVD 1214 V.6,0201608104844,Lincoln Center--Quinn Library,AV
Barabbas [videorecording (DVD)] / Columbia Pictures presents a Dino de Laurentiis production ; screenplay by Christopher Fry ; produced by Dino de Laurentiis ; directed by Richard Fleischer.,W DVD 764,0201605991045,Lincoln Center--Quinn Library,AV
Barabbas [videorecording (DVD)] / Columbia Pictures presents a Dino de Laurentiis production ; screenplay by Christopher Fry ; produced by Dino de Laurentiis ; directed by Richard Fleischer.,W DVD 764,0201606898751,Lincoln Center--Quinn Library,AV
"Batalla en el cielo [videorecording (DVD)] / una producción de Philippe Bober, Nodream Cinema, Mantarraya ; guión y dirección, Carlos Reygados.",W DVD 4990,0201607411281,Lincoln Center--Quinn Library,AV
"Batalla en el cielo [videorecording (DVD)] / una producción de Philippe Bober, Nodream Cinema, Mantarraya ; guión y dirección, Carlos Reygados.",W DVD 4990,0201607430778,Lincoln Center--Quinn Library,AV
"Batman begins [videorecording (DVD)] / Warner Brothers Pictures presents in association with Legendary Pictures, a Syncopy production, a film by Christopher Nolan ; produced by Emma Thomas, Charles Roven, Larry Franco ; story by David S. Goyer ; screenplay by Christopher Nolan and David S. Goyer ; directed by Christopher Nolan.",W DVD 3632 V.2,0201607122581,Lincoln Center--Quinn Library,AV
"Batman begins [videorecording (DVD)] / Warner Brothers Pictures presents in association with Legendary Pictures, a Syncopy production, a film by Christopher Nolan ; produced by Emma Thomas, Charles Roven, Larry Franco ; story by David S. Goyer ; screenplay by Christopher Nolan and David S. Goyer ; directed by Christopher Nolan.",W DVD 3632 V.2,0201606328775,Lincoln Center--Quinn Library,AV
"Batman begins [videorecording (DVD)] / Warner Brothers Pictures presents in association with Legendary Pictures, a Syncopy production, a film by Christopher Nolan ; produced by Emma Thomas, Charles Roven, Larry Franco ; story by David S. Goyer ; screenplay by Christopher Nolan and David S. Goyer ; directed by Christopher Nolan.",W DVD 3632 V.1,0201607122573,Lincoln Center--Quinn Library,AV
"Batman begins [videorecording (DVD)] / Warner Brothers Pictures presents in association with Legendary Pictures, a Syncopy production, a film by Christopher Nolan ; produced by Emma Thomas, Charles Roven, Larry Franco ; story by David S. Goyer ; screenplay by Christopher Nolan and David S. Goyer ; directed by Christopher Nolan.",W DVD 3632 V.1,0201606328783,Lincoln Center--Quinn Library,AV
"Beauty and the beast [videorecording (DVD)] / Walt Disney Animation Studios ; Walt Disney Pictures presents, in association with  Silver Screen Partners IV ; directed by Gary Trousdale and Kirk Wise ; produced by Don Hahn ; animation screenplay by Linda Woolverton.","W DVD 11,537, DISC 1",0201609109016,Lincoln Center--Quinn Library,AV
"Beauty and the beast [videorecording (DVD)] / Walt Disney Animation Studios ; Walt Disney Pictures presents, in association with  Silver Screen Partners IV ; directed by Gary Trousdale and Kirk Wise ; produced by Don Hahn ; animation screenplay by Linda Woolverton.","W DVD 11,537, DISC 1",0201609413509,Lincoln Center--Quinn Library,AV
"Beauty and the beast [videorecording (DVD)] / Walt Disney Animation Studios ; Walt Disney Pictures presents, in association with  Silver Screen Partners IV ; directed by Gary Trousdale and Kirk Wise ; produced by Don Hahn ; animation screenplay by Linda Woolverton.","W DVD 11,537, DISC 2",0201609109024,Lincoln Center--Quinn Library,AV
"Beauty and the beast [videorecording (DVD)] / Walt Disney Animation Studios ; Walt Disney Pictures presents, in association with  Silver Screen Partners IV ; directed by Gary Trousdale and Kirk Wise ; produced by Don Hahn ; animation screenplay by Linda Woolverton.","W DVD 11,537, DISC 2",0201609413517,Lincoln Center--Quinn Library,AV
"Before night falls [videorecording (DVD)] / Fineline Features ; a Grandview Pictures production ; Jon Kilik presents a film by Julian Schnabel ; produced by Jon Kilik ; written by Cunningham O'Keefe, Lázaro Gómez Carriles, Julian Schnabel ; directed by Julian Schnabel.",W DVD 466,0201605352826,Lincoln Center--Quinn Library,AV
"Before night falls [videorecording (DVD)] / Fineline Features ; a Grandview Pictures production ; Jon Kilik presents a film by Julian Schnabel ; produced by Jon Kilik ; written by Cunningham O'Keefe, Lázaro Gómez Carriles, Julian Schnabel ; directed by Julian Schnabel.",W DVD 466,0201606329765,Lincoln Center--Quinn Library,AV
Behavioral couples therapy [videorecording (DVD)] / Psychotherapy.net ; Governors State University ; Allyn & Bacon.,"W DVD 11,574",0201609109529,Lincoln Center--Quinn Library,AV
Behavioral couples therapy [videorecording (DVD)] / Psychotherapy.net ; Governors State University ; Allyn & Bacon.,"W DVD 11,574",0201609166172,Lincoln Center--Quinn Library,AV
Behavioral couples therapy [videorecording (DVD)] / Psychotherapy.net ; Governors State University ; Allyn & Bacon.,"W DVD 11,574, INSTRUCTOR'S MANUAL",0201609109537,Lincoln Center--Quinn Library,AV
Behavioral couples therapy [videorecording (DVD)] / Psychotherapy.net ; Governors State University ; Allyn & Bacon.,"W DVD 11,574, INSTRUCTOR'S MANUAL",0201609166164,Lincoln Center--Quinn Library,AV
The Beiderbecke tapes [videorecording (DVD)] / a Yorkshire Television production ; written by Alan Plater ; directed by Brian Parker ; produced by Michael Glynn.,"W DVD 10,717, DISC 1",0201609016740,Lincoln Center--Quinn Library,AV
The Beiderbecke tapes [videorecording (DVD)] / a Yorkshire Television production ; written by Alan Plater ; directed by Brian Parker ; produced by Michael Glynn.,"W DVD 10,717, DISC 1",0201609480706,Lincoln Center--Quinn Library,AV
The Beiderbecke tapes [videorecording (DVD)] / a Yorkshire Television production ; written by Alan Plater ; directed by Brian Parker ; produced by Michael Glynn.,"W DVD 10,717, DISC 2",0201609016757,Lincoln Center--Quinn Library,AV
The Beiderbecke tapes [videorecording (DVD)] / a Yorkshire Television production ; written by Alan Plater ; directed by Brian Parker ; produced by Michael Glynn.,"W DVD 10,717, DISC 2",0201609480714,Lincoln Center--Quinn Library,AV
Being John Malkovich [videorecording (DVD)] / Gramercy Pictures presents a Propaganda Films/Single Cell Pictures production ; directed by Spike Jonze ; written by Charlie Kaufman ; produced by Michael Stipe ... [et al.].,W DVD 1356,0201606898322,Lincoln Center--Quinn Library,AV
Being John Malkovich [videorecording (DVD)] / Gramercy Pictures presents a Propaganda Films/Single Cell Pictures production ; directed by Spike Jonze ; written by Charlie Kaufman ; produced by Michael Stipe ... [et al.].,W DVD 1356,0201606321051,Lincoln Center--Quinn Library,AV
"Belle et la bête [videorecording (DVD)] = Beauty and the beast / André Paulvé presents a film by Jean Cocteau ; story, dialogue, and directed by Jean Cocteau.",W DVD 719,0201607563164,Lincoln Center--Quinn Library,AV
"Belle et la bête [videorecording (DVD)] = Beauty and the beast / André Paulvé presents a film by Jean Cocteau ; story, dialogue, and directed by Jean Cocteau.",W DVD 719,0201606329070,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 BOOKLET,0201608062166,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 BOOKLET,0201609441468,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.1,0201608062174,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.1,0201609441476,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.2,0201608062182,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.2,0201609441484,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.3,0201608062190,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.3,0201609441492,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.4,0201608062208,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.4,0201609441500,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.5,0201608070011,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.5,0201609441518,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.6,0201608070029,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.6,0201609441526,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.7,0201608070037,Lincoln Center--Quinn Library,AV
Berlin Alexanderplatz [videorecording (DVD)].,W DVD 7543 V.7,0201609441534,Lincoln Center--Quinn Library,AV
