marcEntry_x,callNumber,itemID_x,library,location_x
"Die 3groschenoper [videorecording (DVD)] = The 3 penny opera / [Warner Bros. Pictures ; in association with Tobis Filmkunst] ; Thomas J. Brandon presents ; produced by S. Nebenzahl ; screenplay by Léo Lania, Ladislaus Vajda and Béla Balázs ; directed by G. W. Pabst.",W DVD 7342 BOOKLET,0201608035378,Lincoln Center--Quinn Library,AV
"Die 3groschenoper [videorecording (DVD)] = The 3 penny opera / [Warner Bros. Pictures ; in association with Tobis Filmkunst] ; Thomas J. Brandon presents ; produced by S. Nebenzahl ; screenplay by Léo Lania, Ladislaus Vajda and Béla Balázs ; directed by G. W. Pabst.","W DVD 7342, V.1",0201608035386,Lincoln Center--Quinn Library,AV
"Die 3groschenoper [videorecording (DVD)] = The 3 penny opera / [Warner Bros. Pictures ; in association with Tobis Filmkunst] ; Thomas J. Brandon presents ; produced by S. Nebenzahl ; screenplay by Léo Lania, Ladislaus Vajda and Béla Balázs ; directed by G. W. Pabst.","W DVD 7342, V.2",0201608035394,Lincoln Center--Quinn Library,AV
"4 [videorecording (DVD)] / Filmocom Productions with participation of the Russian Federation Ministry of Culture and financial support of the Hubert Balls Fund of the International Filmfestival Rotterdam ; produced by Yelena Yatsura ; concept and story by Vladimir Sorokin, Ilya Khrzhanovsky ; screenplay by Vladimir Sorokin ; directed by Ilya Khrzhanovsky.",W DVD 6167,0201607795550,Lincoln Center--Quinn Library,AV
"4 by Agnès Varda [videorecording (DVD)] / produced by Cini-Tamaris, Parc Film, Channel Four Films, Ministère de la Culture de la Republique Française; distributed by Criterion collection; directed by Agnès Varda.","W DVD 9185, BOOKLET",0201608369538,Lincoln Center--Quinn Library,AV
"4 by Agnès Varda [videorecording (DVD)] / produced by Cini-Tamaris, Parc Film, Channel Four Films, Ministère de la Culture de la Republique Française; distributed by Criterion collection; directed by Agnès Varda.","W DVD 9185, V.1",0201608369546,Lincoln Center--Quinn Library,AV
"4 by Agnès Varda [videorecording (DVD)] / produced by Cini-Tamaris, Parc Film, Channel Four Films, Ministère de la Culture de la Republique Française; distributed by Criterion collection; directed by Agnès Varda.","W DVD 9185, V.2",0201608369553,Lincoln Center--Quinn Library,AV
"4 by Agnès Varda [videorecording (DVD)] / produced by Cini-Tamaris, Parc Film, Channel Four Films, Ministère de la Culture de la Republique Française; distributed by Criterion collection; directed by Agnès Varda.","W DVD 9185, V.3",0201608369561,Lincoln Center--Quinn Library,AV
"4 by Agnès Varda [videorecording (DVD)] / produced by Cini-Tamaris, Parc Film, Channel Four Films, Ministère de la Culture de la Republique Française; distributed by Criterion collection; directed by Agnès Varda.","W DVD 9185, V.4",0201608369579,Lincoln Center--Quinn Library,AV
4 film favorites. Draculas [videorecording (DVD)].,"W DVD 8936, V.1",0201608339549,Lincoln Center--Quinn Library,AV
4 film favorites. Draculas [videorecording (DVD)].,"W DVD 8936, V.2",0201608339556,Lincoln Center--Quinn Library,AV
4 films de Otar Iosseliani [videorecording (DVD)] = 4 films by Otar Iosseliani.,W DVD 4049 V.1,0201607210402,Lincoln Center--Quinn Library,AV
4 films de Otar Iosseliani [videorecording (DVD)] = 4 films by Otar Iosseliani.,W DVD 4049 V.2,0201607210410,Lincoln Center--Quinn Library,AV
"4 little girls [videorecording (DVD)] / an HBO documentary film in association with 40 Acres and a Mule Filmworks production ; a Spike Lee Joint ; director, producer, Spike Lee ; producer, Sam Pollard.",W DVD 788,0201606837171,Lincoln Center--Quinn Library,AV
"4 luni, 3 saptamâni si 2 zile [videorecording (DVD)] / Mobra Films prezinta ; un film de Cristian Mungiu ; producători, Cristian Mungiu, Oleg Mutu ; [written and directed by] Cristian Mungiu.",W DVD 9584,0201608442806,Lincoln Center--Quinn Library,AV
4 mouhes velours girls [videorecording (DVD)] / Paramount Pictures presents ; directed by Dario Argento.,W DVD 8482,0201608223768,Lincoln Center--Quinn Library,AV
The 4th floor [videorecording (DVD)] / Millennium Films.,W DVD 1374,0201609172782,Lincoln Center--Quinn Library,AV
"5 against the house [videorecording (DVD)] / Columbia Pictures Corporation presents ; screenplay by Stirling Silliphant, William Bowers, John Barnwell ; produced by Stirling Silliphant and John Barnwell ; directed by Phil Karlson.","W DVD 11,116",0201609031715,Lincoln Center--Quinn Library,AV
5 dead on the crimson canvas [videorecording (DVD)] / Cinema Image Productions and Joseph F. Parda present ; written and directed by Joseph F. Parda.,W DVD 2710,0201606898298,Lincoln Center--Quinn Library,AV
"5 x 2 [videorecording (DVD)] : cinq fois deux = Five times two / a film by François Ozon ; producers, Olivier Delbosc, Marc Missonnier.",W DVD 9165,0201608368852,Lincoln Center--Quinn Library,AV
"5th Avenue girl [videorecording (DVD)] / an RKO Radio picture ; RKO Pictures, Inc. presents ; Pandro S. Berman in charge of production ; produced by Gregory La Cava ; screen play by Allan Scott ; directed by Gregory La Cava.","W DVD 12,115",0201609170497,Lincoln Center--Quinn Library,AV
"6ixtynin9 [videorecording (DVD)] = Rūang talok 69 / Five Star Production ; written, directed & produced by Penʻēk Rattanarūang.",W DVD 8290,0201608173625,Lincoln Center--Quinn Library,AV
"7 boxes [videorecording (DVD)] = Seite cajas / Maneglia-Schémbori Realizadores ; original screenplay by Juan Carlos Maneglia ; directed by Juan Carlos Maneglia, Tana Schembori.","W DVD 13,644",0201609434091,Lincoln Center--Quinn Library,AV
7 Savages [videorecording (DVD)] : the official box set.,"W DVD 10,120, DISC 1",0201608725325,Lincoln Center--Quinn Library,AV
7 Savages [videorecording (DVD)] : the official box set.,"W DVD 10,120, DISC 2",0201608725333,Lincoln Center--Quinn Library,AV
7 Savages [videorecording (DVD)] : the official box set.,"W DVD 10,120, DISC 3",0201608725341,Lincoln Center--Quinn Library,AV
"7th Street [videorecording (DVD)] / Paradise Acres Productions presents a Josh Pais film ; producer, Josh Pais.",W DVD 2463,0201606885915,Lincoln Center--Quinn Library,AV
The 7th voyage of Sinbad [videorecording (DVD)] / Columbia Pictures Corporation ; a Morningside production.,W DVD 3670,0201607140674,Lincoln Center--Quinn Library,AV
"8 femmes [videorecording (DVD)] = 8 women / Fidélité Productions présente en coproduction avec France 2 cinéma ... [et al.] ; adaptation, scénario et dialogues, François Ozon ; produit par Olivier Delbosc et Marc Missonnier ; réalisé par François Ozon.",W DVD 3467,0201607096082,Lincoln Center--Quinn Library,AV
"8 mile [videorecording (DVD)] / Universal Pictures and Imagine Entertainment present a Brian Grazer/Curtis Hanson production ; producers, Brian Grazer, Curtis Hanson, Jimmy Iovine ; writer, Scott Silver ; director, Curtis Hanson.",W DVD 734,0201605950223,Lincoln Center--Quinn Library,AV
"8MM [videorecording (DVD)] : Eight millimeter / Columbia Pictures presents a Hofflund/Polone production ; produced by Gavin Polone, Judy Hofflund, Joel Schumacher ; directed by Joel Schumacher.",W DVD 2850 2005,0201607506619,Lincoln Center--Quinn Library,AV
9 dead gay guys [videorecording (DVD)] : a comedy by Lab Ky Mo.,W DVD 4446,0201607318346,Lincoln Center--Quinn Library,AV
"9 songs [videorecording (DVD)] / Accent Film Entertainment presents a Revolution Films production of a Michael Winterbottom film ; producer, Andrew Eaton ; director, Michael Winterbottom.",W DVD 4473,0201607326182,Lincoln Center--Quinn Library,AV
"9 star hotel [videorecording (DVD)] / Eden Productions ; producers, Edna Kowarsky & Elinor Kowarsky ; director & cinematographer, Ido Haar.",W DVD 8421,0201608222190,Lincoln Center--Quinn Library,AV
10 [videorecording (DVD)] / MK2 Productions ; Marin Karmitz et Abbas Kiarostami présentent ;  [directed and written by] Abbas Kiarostami.,W DVD 7340,0201609063619,Lincoln Center--Quinn Library,AV
10:30 p.m. summer [videorecording (DVD)] / screenplay by Jules Dassin and Marguerite Duras ; directed by Jules Dassin.,W DVD 7356,0201608035717,Lincoln Center--Quinn Library,AV
10 days that unexpectedly changed America [videorecording (DVD)] / All Productions in association with @Radical Media for the History Channel.,"W DVD 9623, V.1",0201608528760,Lincoln Center--Quinn Library,AV
10 days that unexpectedly changed America [videorecording (DVD)] / All Productions in association with @Radical Media for the History Channel.,"W DVD 9623, V.2",0201608528778,Lincoln Center--Quinn Library,AV
10 days that unexpectedly changed America [videorecording (DVD)] / All Productions in association with @Radical Media for the History Channel.,"W DVD 9623, V.3",0201608528786,Lincoln Center--Quinn Library,AV
"10 items or less [videorecording (DVD)] / ThinkFilm ; Reveal Entertainment, Revelations Entertainment in association with Mockingbird Pictures ; produced by Lori McCreary, Julie Lynn, Brad Silberling ; written and directed by Brad Silberling.",W DVD 6438,0201607844671,Lincoln Center--Quinn Library,AV
10 Rillington Place [videorecording (DVD)] / Columbia Pictures and Filmways present a Martin Ransohoff-Leslie Linder production ; screenplay by Clive Exton ; produced by Leslie Linder and Martin Ransohoff ; directed by Richard Fleischer.,"W DVD 12,786",0201609408996,Lincoln Center--Quinn Library,AV
"11-11-11 [videorecording (DVD)] / director, Darren Lynn Bousman.","W DVD 13,008",0201609415009,Lincoln Center--Quinn Library,AV
"11:14 [videorecording (DVD)] / Media 8 Entertainment presents a Firm Films production ; a Greg Marcks film ; produced by Beau Flynn, John Morrissey ; written and directed by Greg Marcks.",W DVD 4348,0201607315565,Lincoln Center--Quinn Library,AV
12 and holding [videorecording (DVD)] / directed by Michael Cuesta.,W DVD 5378,0201607586074,Lincoln Center--Quinn Library,AV
12 angry men [videorecording (DVD)] / United Artists ; story and screenplay by Reginald Rose ; produced by Henry Fonda and Reginald Rose ; directed by Sidney Lumet.,W DVD 1184,0201606788689,Lincoln Center--Quinn Library,AV
"12 [videorecording (DVD)] / a Sony Pictures Classics release, Three T Productions ; presents Nikita Mikhalkov's film ; producers, Nikita Mikhalkov, Leonid Vereschagin ; screenplay by Nikita Mikhalkov, Alexander Novototsky-Vlasov, Vladimir Moiseenko ; director, Nikita Mikhalkov.","W DVD 11,286",0201609037068,Lincoln Center--Quinn Library,AV
"13 [videorecording (DVD)] / Anchor Bay Films and Barbarian Film Group present an Overnight and Morabito Picture Company production in association with Magnet Media Group, Oceana Media and Red Dragon Productions ; screenplay by Géla Babluani & Greg Pruss ; written and directed by Géla Babluani.","W DVD 12,784",0201609408947,Lincoln Center--Quinn Library,AV
"13 Rue Madeleine [videorecording (DVD)] / 20th Century Fox ; producer, Louis DeRochemont ; writers, Sy Bartlett, John Monks, Jr. ; director, Henry Hathaway.",W DVD 2575,0201606892101,Lincoln Center--Quinn Library,AV
"13 Tzameti [videorecording (DVD)] / Palm Pictures and MK2 Diffusion ; a film by Gela Babluani ; a production Les Films de la Strada, Quasar Pictures, Solimane Productions and MK2 ; produced and written by Gela Babluani.",W DVD 7300,0201608000075,Lincoln Center--Quinn Library,AV
The 13th chair [videorecording (DVD)] / Metro-Goldwyn-Mayer presents Todd Browning's production ; directed by Tod Browning.,"W DVD 10,175",0201608726513,Lincoln Center--Quinn Library,AV
14 hours [videorecording (DVD)].,W DVD 5286,0201607540709,Lincoln Center--Quinn Library,AV
"17 miracles [videorecording (DVD)] / Excel Entertainment and Remember Films present ; a T.C. Christensen film; written and directed by T.C. Christensen ; producers, Ron Tanner and T.C. Chsistensen.","W DVD 12,491",0201609181767,Lincoln Center--Quinn Library,AV
20 million miles to earth [videorecording (DVD)] / Columbia Pictures ; directed by Nathan Juran.,W DVD 5057,0201607423476,Lincoln Center--Quinn Library,AV
20 million miles to Earth [videorecording (DVD)] / [presented by] Columbia Pictures ; story by Charlott Knight ; screenplay by Bob Williams and Christopher Knopf ; produced by Charles H. Schneer ; directed by Nathan Juran.,W DVD 7444 V.1,0201608050575,Lincoln Center--Quinn Library,AV
20 million miles to Earth [videorecording (DVD)] / [presented by] Columbia Pictures ; story by Charlott Knight ; screenplay by Bob Williams and Christopher Knopf ; produced by Charles H. Schneer ; directed by Nathan Juran.,W DVD 7444 V.2,0201608050583,Lincoln Center--Quinn Library,AV
20 years BBC Singer of the World in Cardiff [videorecording (DVD)] / an Opus Arte production in association with BBC Wales.,W DVD 5832 BOOKLET,0201607720103,Lincoln Center--Quinn Library,AV
20 years BBC Singer of the World in Cardiff [videorecording (DVD)] / an Opus Arte production in association with BBC Wales.,W DVD 5832 V.1,0201607720129,Lincoln Center--Quinn Library,AV
20 years BBC Singer of the World in Cardiff [videorecording (DVD)] / an Opus Arte production in association with BBC Wales.,W DVD 5832 V.2,0201606328510,Lincoln Center--Quinn Library,AV
"20,000 leagues under the sea [videorecording (DVD)] / Walt Disney Pictures ; producer, Walt Disney ; writer, Earl Felton ; director, Richard Fleischer.",W DVD 3734 V.1,0201607152943,Lincoln Center--Quinn Library,AV
"20,000 leagues under the sea [videorecording (DVD)] / Walt Disney Pictures ; producer, Walt Disney ; writer, Earl Felton ; director, Richard Fleischer.",W DVD 3734 V.2,0201607152950,Lincoln Center--Quinn Library,AV
"20,000 leagues under the sea [videorecording (DVD)].",W DVD 8350,0201607886185,Lincoln Center--Quinn Library,AV
"20,000 years in Sing Sing [videorecording (DVD)] / First National Pictures & Vitaphone ; directed by Michael Curtiz ; screen play by Wilson Mizner & Brown Holmes ; adaptation by  Courtenay Terrett & Robert Lord.","W DVD 12,040",0201609169333,Lincoln Center--Quinn Library,AV
"21 [videorecording (DVD)] / Columbia Pictures presents in association with Relativity Media, a Trigger Street/Michael De Luca production ; produced by Dana Brunetti, Kevin Spacey, Michael De Luca ; screenplay by Peter Steinfeld and Allan Loeb ; directed by Robert Luketic.",W DVD 9209,0201608369868,Lincoln Center--Quinn Library,AV
"21 grams [videorecording (DVD)] / a Focus Features presentation, a This is That production, a Y Productions production, an Alejandro González Iñárritu film ; produced by Alejandro González Iñárritu, Robert Salerno ; written by Guillermo Arriaga ; directed by Alejandro Gonzálex Iñárritu.",W DVD 1328,0201606441511,Lincoln Center--Quinn Library,AV
21 hours at Munich [videorecording (DVD)] / produced by Robert Greenwald and Frank Von Zerneck ; teleplay by Edward Hume and Howard Fast ; directed by William A. Graham.,W DVD 4146,0201607238171,Lincoln Center--Quinn Library,AV
"24 hours on Craigslist [videorecording (DVD)] / director, Michael Ferris Gibson.",W DVD 5223 V.1,0201607453010,Lincoln Center--Quinn Library,AV
"24 hours on Craigslist [videorecording (DVD)] / director, Michael Ferris Gibson.",W DVD 5223 V.2,0201607453028,Lincoln Center--Quinn Library,AV
"24. Redemption [videorecording (DVD)] / Twentieth Century Fox Film Corporation ; producer, Michael Klick ; writer, Howard Gordon ; director, Jon Cassar.","W DVD 9772, DISC 1",0201608532309,Lincoln Center--Quinn Library,AV
"24. Redemption [videorecording (DVD)] / Twentieth Century Fox Film Corporation ; producer, Michael Klick ; writer, Howard Gordon ; director, Jon Cassar.","W DVD 9772, DISC 2",0201608532317,Lincoln Center--Quinn Library,AV
24. Season six [videorecording (DVD)] / Imagine Television ; Twentieth Century Fox Film Corporation.,"W DVD 4028 SEASON SIX, V.1",0201608133389,Lincoln Center--Quinn Library,AV
24. Season six [videorecording (DVD)] / Imagine Television ; Twentieth Century Fox Film Corporation.,"W DVD 4028 SEASON SIX, V.2",0201608133397,Lincoln Center--Quinn Library,AV
24. Season six [videorecording (DVD)] / Imagine Television ; Twentieth Century Fox Film Corporation.,"W DVD 4028 SEASON SIX, V.3",0201608133405,Lincoln Center--Quinn Library,AV
24. Season six [videorecording (DVD)] / Imagine Television ; Twentieth Century Fox Film Corporation.,"W DVD 4028 SEASON SIX, V.4",0201608133413,Lincoln Center--Quinn Library,AV
24. Season six [videorecording (DVD)] / Imagine Television ; Twentieth Century Fox Film Corporation.,"W DVD 4028 SEASON SIX, V.5",0201608133421,Lincoln Center--Quinn Library,AV
24. Season six [videorecording (DVD)] / Imagine Television ; Twentieth Century Fox Film Corporation.,"W DVD 4028 SEASON SIX, V.6",0201608133439,Lincoln Center--Quinn Library,AV
24. Season six [videorecording (DVD)] / Imagine Television ; Twentieth Century Fox Film Corporation.,"W DVD 4028 SEASON SIX, V.7",0201608133447,Lincoln Center--Quinn Library,AV
"25th hour [videorecording (DVD)] / Touchstone Pictures presents a 40 Acres and a Mule Filmworks production an Industry Entertainments/Gamut Films production, a Spike Lee Joint ; producers, Tobey Maguire, Julia Chasman, Spike Lee, Jon Kilik ; screenplay writer, David Benioff ; director, Spike Lee.",W DVD 759,0201605991029,Lincoln Center--Quinn Library,AV
26 films (and 1 video) [videorecording (DVD)] / by Stuart Sherman ; electronic arts intermix presents.,"W DVD 11,146",0201609032309,Lincoln Center--Quinn Library,AV
"28 women [videorecording (DVD)] : a chance for independence : documentary / by Muriel Magenta ; sponsors, Arizona State University, Herberger College of Fine Arts, Women's Studies ; YWCA Haven House ; script, Kathryn Pinto, Eric Vermilion, Michele Benjamin.",W DVD 3265,0201607030883,Lincoln Center--Quinn Library,AV
30 days [videorecording (DVD)] / [created by Morgan Spurlock].,W DVD 4933 V.2,0201606319824,Lincoln Center--Quinn Library,AV
"30 minutes or less [videorecording (DVD)] / Columbia Pictures presents, in association with Media Rights Capital, a Red Hour production ; produced by Stuart Cornfield, Ben Stiller, Jeremy Kramer ; screenplay by Michael Diliberti ; story by Michael Diliberti & Matthew Sullivan ; directed by Ruben Fleischer.","W DVD 12,815",0201609409457,Lincoln Center--Quinn Library,AV
"30 Rock. Season 1 [videorecording (DVD)] / Universal Studios ; Broadway Video ; Little Stranger, Inc.; NBC Universal Television Studio.",W DVD 7289 SEASON ONE V.1,0201608266445,Lincoln Center--Quinn Library,AV
"30 Rock. Season 1 [videorecording (DVD)] / Universal Studios ; Broadway Video ; Little Stranger, Inc.; NBC Universal Television Studio.",W DVD 7289 SEASON ONE V.2,0201608266452,Lincoln Center--Quinn Library,AV
"30 Rock. Season 1 [videorecording (DVD)] / Universal Studios ; Broadway Video ; Little Stranger, Inc.; NBC Universal Television Studio.",W DVD 7289 SEASON ONE V.3,0201608266460,Lincoln Center--Quinn Library,AV
30 Rock. Season 2 [videorecording (DVD)] / Universal Studios ; created by Tina Fey.,"W DVD 7289 SEASON TWO, V.1",0201608442863,Lincoln Center--Quinn Library,AV
30 Rock. Season 2 [videorecording (DVD)] / Universal Studios ; created by Tina Fey.,"W DVD 7289 SEASON TWO, V.2",0201608442871,Lincoln Center--Quinn Library,AV
30 Rock. Season 3 [videorecording (DVD)].,"W DVD 7289 SEASON THREE, DISC 1",0201609493741,Lincoln Center--Quinn Library,AV
30 Rock. Season 3 [videorecording (DVD)].,"W DVD 7289 SEASON THREE, DISC 2",0201609493758,Lincoln Center--Quinn Library,AV
30 Rock. Season 3 [videorecording (DVD)].,"W DVD 7289 SEASON THREE, DISC 3",0201609493766,Lincoln Center--Quinn Library,AV
"30 Rock. Season 4 [videorecording (DVD)] / Broadway Video ; Little Stranger, Inc. ; Universal Media Studios ; NBC Universal.","W DVD 7289 SEASON 4, DISC 1",0201609036045,Lincoln Center--Quinn Library,AV
"30 Rock. Season 4 [videorecording (DVD)] / Broadway Video ; Little Stranger, Inc. ; Universal Media Studios ; NBC Universal.","W DVD 7289 SEASON 4, DISC 2",0201609036052,Lincoln Center--Quinn Library,AV
"30 Rock. Season 4 [videorecording (DVD)] / Broadway Video ; Little Stranger, Inc. ; Universal Media Studios ; NBC Universal.","W DVD 7289 SEASON 4, DISC 3",0201609036060,Lincoln Center--Quinn Library,AV
30 Rock. Season 5 [videorecording (DVD)].,"W DVD 7289 SEASON 5, DISC 1",0201609409333,Lincoln Center--Quinn Library,AV
30 Rock. Season 5 [videorecording (DVD)].,"W DVD 7289 SEASON 5, DISC 2",0201609409341,Lincoln Center--Quinn Library,AV
30 Rock. Season 5 [videorecording (DVD)].,"W DVD 7289 SEASON 5, DISC 3",0201609409358,Lincoln Center--Quinn Library,AV
"35 & ticking [videorecording (DVD)] / Image Entertainment, One Village Entertainment, UpToParr Productions in association with Swirl Films presents ; produced by Eric Tomosunas ; written and directed by  Russ Parr.","W DVD 12,521",0201609182849,Lincoln Center--Quinn Library,AV
"36 fillette [videorecording (DVD)] / un film de Catherine Breillat ; produit par Emmanuel Schlumberger, Valérie Seydoux ; une coproduction French Production, CB Films, CFC en association ave las Sofica cofimage et de la Centre National de la Cinematographie.",W DVD 1073,0201606224917,Lincoln Center--Quinn Library,AV
37°2 le matin [videorecording (DVD)] = Betty Blue / Destination Films ; Gaumont présente une production Cargo Films ; écrit et réalisé par Jean-Jacques Beineix.,W DVD 1719,0201606711210,Lincoln Center--Quinn Library,AV
"The 39 steps [videorecording (DVD)] / an ITV production for BBC ; producer, Lynn Horsford ; screenplay by Lizzie Mickery ; directed by James Hawes.","W DVD 11,731",0201609113745,Lincoln Center--Quinn Library,AV
"The 40-year-old virgin [videorecording (DVD)] / Universal Pictures presents ; an Apatow production ; produced by Judd Apatow, Clayton Townsend, Shauna Robertson ; written by Judd Apatow & Steve Carell ; directed by Judd Apatow.",W DVD 6823 V.1,0201607941477,Lincoln Center--Quinn Library,AV
"The 40-year-old virgin [videorecording (DVD)] / Universal Pictures presents ; an Apatow production ; produced by Judd Apatow, Clayton Townsend, Shauna Robertson ; written by Judd Apatow & Steve Carell ; directed by Judd Apatow.",W DVD 6823 V.2,0201607941485,Lincoln Center--Quinn Library,AV
42nd Street [videorecording (DVD)] / Warner Brothers Pictures & the Vitaphone Corp. ; directed by Lloyd Bacon ; screen play by Rian James & James Seymour.,W DVD 1879,0201606788549,Lincoln Center--Quinn Library,AV
"48 hrs [videorecording (DVD)] / Paramount Pictures presents a Lawrence Gordon production ; writers, Roger Spottiswoode, Walter Hill, Larry Gross, Steven E. de Souza ; producers, Lawrence Gordon, Joel Silver ; director, Walter Hill.",W DVD 6973,0201607946104,Lincoln Center--Quinn Library,AV
"49 Up [videorecording (DVD)] / Granada Manchester ; produced by Michael Apted, Claire Lewis ; directed by Michael Apted.",W DVD 5792,0201607718164,Lincoln Center--Quinn Library,AV
